model,layer,n_layers,layer_frac,roi,rsa_mean,rsa_sem,noise_ceiling,rsa_noise_corrected
wav2vec2,2,25,0.08333333333333333,Lateral,0.27130116540569116,0.023099010941381386,0.7227342603937893,0.3753816309439515
wav2vec2,3,25,0.125,Lateral,0.3139534261336212,0.024556467568442836,0.7227342603937893,0.4343967670254907
wav2vec2,4,25,0.16666666666666666,Lateral,0.3315885100564388,0.02472997637603654,0.7227342603937893,0.4587972761603544
wav2vec2,5,25,0.20833333333333334,Lateral,0.3568055231985954,0.026146036984100916,0.7227342603937893,0.4936884035415537
wav2vec2,6,25,0.25,Lateral,0.3827988414772534,0.028351981477871747,0.7227342603937893,0.5296536534309049
wav2vec2,7,25,0.2916666666666667,Lateral,0.4043770859749239,0.030027046430874147,0.7227342603937893,0.5595100552651189
wav2vec2,8,25,0.3333333333333333,Lateral,0.40705205268446143,0.03132347408042659,0.7227342603937893,0.563211231279772
wav2vec2,9,25,0.375,Lateral,0.40210168369396115,0.03110976322138887,0.7227342603937893,0.5563617303472951
wav2vec2,10,25,0.4166666666666667,Lateral,0.36597592518618705,0.031170646303320563,0.7227342603937893,0.5063768873870477
wav2vec2,11,25,0.4583333333333333,Lateral,0.3880402610900983,0.030571999195227458,0.7227342603937893,0.5369058620227447
wav2vec2,12,25,0.5,Lateral,0.3927552441735024,0.02909135195233662,0.7227342603937893,0.543429674911918
wav2vec2,13,25,0.5416666666666666,Lateral,0.39548513161871335,0.024071656329684502,0.7227342603937893,0.5472068411468818
wav2vec2,14,25,0.5833333333333334,Lateral,0.3969635070601091,0.02353552014303064,0.7227342603937893,0.5492523722949281
wav2vec2,15,25,0.625,Lateral,0.4005194994210213,0.02289167062781855,0.7227342603937893,0.5541725657267085
wav2vec2,16,25,0.6666666666666666,Lateral,0.38732080108854716,0.021334029666410806,0.7227342603937893,0.5359103923999831
wav2vec2,17,25,0.7083333333333334,Lateral,0.38959637560933347,0.02119177109462837,0.7227342603937893,0.5390589556347555
wav2vec2,18,25,0.75,Lateral,0.3771819960261281,0.024017623160674233,0.7227342603937893,0.5218819927266442
wav2vec2,19,25,0.7916666666666666,Lateral,0.3716981973830636,0.02523243879119678,0.7227342603937893,0.5142944201656359
wav2vec2,20,25,0.8333333333333334,Lateral,0.37152426361922275,0.023504743666827286,0.7227342603937893,0.5140537594229916
wav2vec2,21,25,0.875,Lateral,0.3689767055227882,0.020935518393978683,0.7227342603937893,0.5105288703509744
wav2vec2,22,25,0.9166666666666666,Lateral,0.07369452946105812,0.01706800289958136,0.7227342603937893,0.10196628761019975
wav2vec2,23,25,0.9583333333333334,Lateral,0.3298023336304944,0.02040621605351545,0.7227342603937893,0.4563258609752333
wav2vec2,24,25,1.0,Lateral,0.3277782941699462,0.020904720252998943,0.7227342603937893,0.45352533030792364
