category,n_stimuli,model,layer,n_layers,layer_pct,rsa_mean,rsa_sem,noise_ceiling
Music,24,whisper,6,7,100.0,0.12719313365962245,0.014169183842898073,0.7720217177266305
Music,24,ast,0,13,0.0,-0.01950585750774105,0.023254891042928313,0.7720217177266305
Music,24,ast,1,13,8.333333333333334,0.14326810405102666,0.010910425282884507,0.7720217177266305
Music,24,ast,2,13,16.666666666666668,0.14231172500392403,0.011003527534660969,0.7720217177266305
Music,24,ast,3,13,25.0,0.2348690229876857,0.011554512333770894,0.7720217177266305
Music,24,ast,4,13,33.333333333333336,0.20334547166849792,0.012624682684782309,0.7720217177266305
Music,24,ast,5,13,41.666666666666664,0.4003591843723691,0.010870859735271448,0.7720217177266305
Music,24,ast,6,13,50.0,0.47965151752971574,0.010450048691226345,0.7720217177266305
Music,24,ast,7,13,58.333333333333336,0.5162528788116608,0.013798136866479745,0.7720217177266305
Music,24,ast,8,13,66.66666666666667,0.5912714430444771,0.014634024948108091,0.7720217177266305
Music,24,ast,9,13,75.0,0.5835853655056292,0.014614090472706462,0.7720217177266305
Music,24,ast,10,13,83.33333333333333,0.5967912843709422,0.018349677092125927,0.7720217177266305
Music,24,ast,11,13,91.66666666666667,0.5538955779740586,0.017098891127498232,0.7720217177266305
Music,24,ast,12,13,100.0,0.5274011500977441,0.015642780045981127,0.7720217177266305
HumNonVoc,15,wav2vec2,0,25,0.0,0.4895868753887621,0.03395816148050048,0.59072309765706
HumNonVoc,15,wav2vec2,1,25,4.166666666666667,0.5010299606054323,0.03391247334091433,0.59072309765706
HumNonVoc,15,wav2vec2,2,25,8.333333333333334,0.4756712626995645,0.03284072267942618,0.59072309765706
HumNonVoc,15,wav2vec2,3,25,12.5,0.48052042297325315,0.034474314941582214,0.59072309765706
HumNonVoc,15,wav2vec2,4,25,16.666666666666668,0.4809117769023429,0.03343940471243296,0.59072309765706
HumNonVoc,15,wav2vec2,5,25,20.833333333333332,0.4823061372589675,0.033666736093852456,0.59072309765706
HumNonVoc,15,wav2vec2,6,25,25.0,0.4806417167737923,0.03368178593172982,0.59072309765706
HumNonVoc,15,wav2vec2,7,25,29.166666666666668,0.4625772340866681,0.032352311751971265,0.59072309765706
HumNonVoc,15,wav2vec2,8,25,33.333333333333336,0.4552524362430022,0.03149017719298642,0.59072309765706
HumNonVoc,15,wav2vec2,9,25,37.5,0.3751637984656853,0.029330175058096743,0.59072309765706
HumNonVoc,15,wav2vec2,10,25,41.666666666666664,0.17466151772755545,0.028966229447878224,0.59072309765706
HumNonVoc,15,wav2vec2,11,25,45.833333333333336,0.29610874974082524,0.02979959325006807,0.59072309765706
HumNonVoc,15,wav2vec2,12,25,50.0,0.286345117147004,0.028971453533553966,0.59072309765706
HumNonVoc,15,wav2vec2,13,25,54.166666666666664,0.18653483309143687,0.03139296634898842,0.59072309765706
